ID,time,A_m,P_m,R_s,AR_s,AR_e,A_e,R_e,AR_l,A_l,R_l,P_c,A_cat,Nc_1,Nc_2,Nc_3,Nc_4,hours
2,21600,2.3870310649096396e-11,2095253835984.4846,22103.28218967488,2.0930101738293435e-18,3.589658709046417e-19,3.193700590086978e-20,628.393684669362,3.6537716252284895e-19,3.488920599963584e-20,530.9776038226621,7632.863033820341,31356613.654589467,47824.88939210858,1.8687256217461936,1.7187636285756698,1.6120408679498164,6
2,25200,6.292596393294688e-14,2394007232754.0293,22301.392101411966,4.785037861463683e-21,1.031333512635638e-21,8.625332530902419e-23,484.9166339694608,1.3091160125384875e-21,1.0151525173502033e-22,620.2727080341497,10163.579749232407,33442136.599933315,36165.723014246825,1.6375178339534466,1.4760295649662953,1.535083318949336,7
2,28800,-2.2457174118115986e-14,2928522024743.8726,22890.238143450304,-1.8049640733294374e-21,-3.3894960030472384e-22,-3.805446253420468e-23,565.665319549525,-4.39259435379779e-22,-3.6934448538224986e-23,569.9602273698728,7799.04303971678,34801040.27077956,42986.28656363211,1.3276846645800477,1.2979898920433541,1.5527947541735865,8
3,3600,2550151833720.918,764892168147.1793,422.04084097873334,2544.695193424851,581.7057039545207,43.10652945131167,50.21396716676605,566.6813026534304,50.69263790820672,89.4110388489851,2414.7600645854423,13095082.730731968,80614.76600434023,2.4955221624819828,3.441782534584163,3.841060428672424,1
3,7200,960547930380.2203,1366019622342.7957,689.1717255494592,2587.0078652999423,480.75122553731035,49.89369050149775,58.28595992257598,527.3545109536008,71.03041576652059,99.98162343883887,6338.573651150071,23841224.102417875,88696.71636877897,2.5777949716230046,2.6585808970673352,2.0800803774755434,2
3,10800,283569794479.9047,1863559435198.624,2812.194148237663,2202.9906115576637,514.6674164468292,54.91822529806113,110.35424990240949,443.4517577322948,61.20935076784182,154.59165581062828,6435.0326668213265,29602264.446127217,73778.91523625776,2.205407012087945,3.2884544218125584,1.9777540817411143,3
3,14400,460911.2840782609,3106315300737.7974,21499.423146231606,0.027437898706459733,0.005632270332308836,6.711152047116346e-4,565.5804649752414,0.006802108299864731,6.507372537668944e-4,703.3122447124542,10603.31970486137,43326454.60025943,61870.14919216934,2.411793613322887,2.603471767384521,2.8151211679436186,4
3,18000,0.005792500308630992,2406426865150.2886,22522.71604000354,4.873686002566723e-10,7.204647671953557e-11,1.3108301239092256e-11,558.2678511665861,1.2045913240749288e-10,9.700269777772852e-12,789.5126171147439,9425.546085687258,37356580.7093938,44879.12798095425,1.565643110001711,1.8188784903057256,2.231003351862308,5
3,21600,9.419380969780836e-10,2356496940750.377,24320.55111619404,8.245314400094077e-17,1.3871995045843104e-17,1.9624709221527635e-18,614.288868405586,1.3300015224297672e-17,1.5698026782766505e-18,562.6032659117568,8858.794381266309,41838626.74084419,65317.09452137956,1.777525972364881,1.4835516035987661,1.2467409709522332,6
3,25200,-1.5642588827348218e-11,2907961117630.704,19472.586561148677,-1.0082212158686079e-18,-1.4717782530929689e-19,-1.3314410137412776e-20,568.8806658479234,-1.82642692562532e-19,-2.1898270967163724e-20,576.2013252689965,9513.779292098807,44016163.04410261,49397.982143367866,1.1635394172310654,1.4396234782315391,1.607807677112977,7
